playerId,season,name,team,position,games_played,icetime,p/60,p/60_rank,p/60_rank_norm,goals,goals_rank,goals_rank_norm,assists,assists_rank,assists_rank_norm,xg,xg_rank,xg_rank_norm,corsi_for_pct,corsi_rank,corsi_rank_norm,high_danger_shots,hds_rank,hds_rank_norm
8478421,2024,A.J. Greer,FLA,L,81,43752.0,1.2342292923752056,307,27.830188679245282,4.0,348,18.160377358490564,10.0,130,69.5754716981132,10.16,231,45.75471698113208,0.54,48,88.91509433962264,13.0,155,63.67924528301887
8482691,2024,Aatu Raty,VAN,C,33,20413.0,1.763582031058639,125,70.75471698113208,7.0,264,37.97169811320755,1.0,403,5.188679245283026,3.56,402,5.424528301886795,0.51,140,67.21698113207547,5.0,349,17.924528301886795
8481726,2024,Adam Edstrom,NYR,C,51,28048.0,1.1551625784369652,325,23.58490566037736,5.0,323,24.05660377358491,3.0,341,19.811320754716988,7.09,318,25.235849056603783,0.45,359,15.566037735849065,11.0,205,51.88679245283019
8484166,2024,Adam Fantilli,CBJ,C,82,73658.0,2.150479241901762,53,87.73584905660377,25.0,5,99.05660377358491,12.0,83,80.66037735849056,11.23,194,54.4811320754717,0.47,307,27.830188679245282,4.0,376,11.55660377358491
8478874,2024,Adam Gaudette,OTT,R,81,43114.0,1.9204898640812729,92,78.5377358490566,16.0,57,86.79245283018868,4.0,306,28.066037735849065,8.34,285,33.01886792452831,0.51,141,66.98113207547169,11.0,206,51.65094339622642
8474641,2024,Adam Henrique,EDM,C,81,57486.0,1.0646070347562884,354,16.745283018867923,9.0,210,50.70754716981132,4.0,307,27.830188679245282,10.91,205,51.88679245283019,0.46,336,20.990566037735846,12.0,180,57.78301886792453
8483609,2024,Adam Klapka,CGY,R,31,17297.0,2.081285772099208,64,85.14150943396227,6.0,299,29.716981132075475,4.0,308,27.594339622641513,4.84,377,11.320754716981142,0.48,264,37.97169811320755,4.0,377,11.320754716981142
8476392,2024,Adam Lowry,WPG,C,73,56523.0,1.4648903985988004,232,45.5188679245283,13.0,111,74.05660377358491,2.0,373,12.264150943396231,14.57,77,82.0754716981132,0.52,99,76.88679245283019,24.0,8,98.34905660377359
8477960,2024,Adrian Kempe,LAK,R,81,68299.0,2.2137952239417853,46,89.38679245283019,21.0,22,95.04716981132076,15.0,36,91.74528301886792,16.92,35,91.98113207547169,0.51,142,66.74528301886792,17.0,68,84.19811320754717
8477493,2024,Aleksander Barkov,FLA,C,67,57380.0,2.0704078075984667,66,84.66981132075472,7.0,265,37.735849056603776,17.0,22,95.04716981132076,11.5,181,57.54716981132076,0.6,2,99.76415094339623,13.0,156,63.443396226415096
8479337,2024,Alex DeBrincat,DET,R,82,69896.0,1.7511731715691885,130,69.5754716981132,22.0,18,95.99056603773585,7.0,210,50.70754716981132,16.22,46,89.38679245283019,0.5,178,58.25471698113208,15.0,114,73.34905660377359
8480113,2024,Alex Iafallo,WPG,L,82,49119.0,1.3192450986380018,279,34.43396226415095,8.0,229,46.22641509433962,7.0,211,50.47169811320755,10.15,232,45.5188679245283,0.52,100,76.65094339622641,9.0,268,37.028301886792455
8473986,2024,Alex Killorn,ANA,L,82,63013.0,1.3711456366146668,262,38.443396226415096,12.0,131,69.33962264150944,8.0,182,57.31132075471698,9.68,242,43.16037735849057,0.51,143,66.50943396226415,9.0,269,36.79245283018868
8482155,2024,Alex Laferriere,LAK,R,77,65860.0,1.96781050713635,80,81.36792452830188,16.0,58,86.55660377358491,14.0,44,89.85849056603773,17.82,20,95.51886792452831,0.55,36,91.74528301886792,17.0,69,83.9622641509434
8481618,2024,Alex Newhook,MTL,C,82,64129.0,1.1227369832681002,337,20.754716981132077,12.0,132,69.10377358490567,5.0,274,35.61320754716981,14.26,84,80.4245283018868,0.46,337,20.754716981132077,14.0,138,67.68867924528303
8471214,2024,Alex Ovechkin,WSH,L,65,50344.0,2.7173049419990467,6,98.82075471698113,21.0,23,94.81132075471699,12.0,84,80.4245283018868,12.95,123,71.22641509433963,0.49,223,47.64150943396226,11.0,207,51.41509433962264
8477949,2024,Alex Tuch,BUF,R,82,66689.0,2.159276642324821,51,88.20754716981132,22.0,19,95.75471698113208,8.0,183,57.07547169811321,14.73,72,83.25471698113208,0.5,179,58.0188679245283,18.0,50,88.44339622641509
8481532,2024,Alex Turcotte,LAK,C,68,44260.0,1.8707636692272933,105,75.47169811320755,8.0,230,45.99056603773585,10.0,131,69.33962264150944,11.0,201,52.83018867924528,0.53,72,83.25471698113208,15.0,115,73.11320754716981
8482125,2024,Alexander Holtz,VGK,R,53,34864.0,1.0325837540156035,362,14.858490566037744,3.0,372,12.5,3.0,342,19.575471698113205,7.06,319,25.0,0.48,265,37.735849056603776,10.0,232,45.5188679245283
